City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Upernavik,GL,2021-12-24 23:18:08,72.7868,-56.1549,6.84,97,94,12.68
271,Antofagasta,CL,2021-12-24 23:20:41,-23.65,-70.4,69.08,72,17,4.05
272,Saint-Leu,RE,2021-12-24 23:22:16,-21.15,55.2833,79.66,84,82,7.45
273,Dongsheng,CN,2021-12-24 23:22:16,39.8161,109.9776,1.51,24,7,7.38
274,Ilorin,NG,2021-12-24 23:22:17,8.5,4.55,81.77,30,24,4.56
275,Trinidad,BO,2021-12-24 23:22:17,-14.8333,-64.9,80.58,83,75,0.0
276,Mujiayingzi,CN,2021-12-24 23:22:17,42.1167,118.7833,-4.65,56,0,8.81
277,Grand Gaube,MU,2021-12-24 23:23:18,-20.0064,57.6608,76.37,85,61,3.98
278,Sabang,ID,2021-12-24 23:23:18,5.8933,95.3214,80.44,71,66,9.33
279,Conde,BR,2021-12-24 23:23:19,-7.2597,-34.9075,80.06,83,40,5.75
280,Evanton,GB,2021-12-24 23:23:19,57.6638,-4.34,39.13,89,22,8.28
281,Carballo,ES,2021-12-24 23:23:20,43.213,-8.691,56.75,88,63,8.55
282,Yar-Sale,RU,2021-12-24 23:23:20,66.8333,70.8333,12.58,93,100,15.37
283,Carutapera,BR,2021-12-24 23:23:21,-1.195,-46.02,79.3,83,78,7.56
284,Amapa,BR,2021-12-24 23:23:21,1.0,-52.0,72.75,98,64,2.53
285,Kondinskoye,RU,2021-12-24 23:23:21,59.6481,67.41,-3.17,93,95,13.51
286,Nagato,JP,2021-12-24 23:23:22,34.3833,131.2,48.11,61,57,22.1
287,Tasiilaq,GL,2021-12-24 23:22:06,65.6145,-37.6368,19.56,53,6,5.17
288,Urumqi,CN,2021-12-24 23:23:23,43.801,87.6005,11.35,92,90,4.47
289,Harrisonburg,US,2021-12-24 23:23:23,38.4496,-78.8689,58.19,47,75,6.91
290,Praia,CV,2021-12-24 23:23:23,14.9215,-23.5087,72.14,78,0,16.11
291,Nieves,PH,2021-12-24 23:23:24,15.3274,120.9485,73.51,89,10,2.73
292,Lovington,US,2021-12-24 23:23:24,32.944,-103.3485,74.64,30,56,5.99
293,Hwange,ZW,2021-12-24 23:23:25,-18.3693,26.5019,70.93,89,85,3.06
